sku,classification,evidence_from_database,description,shopify_product_type_values,has_image,stock_rows,unit3_qty
LH2HTE27YB,unresolved,"description is only ""lamp spare Part"" — class not determinable",lamp spare Part,(none),True,10,0
LHC6E27SWH,genuine,description names a holder/socket,Ceramic lamp holder with earth screw,(none),True,10,1920
LHCNE27YB,genuine,description names a holder/socket,Yellow Brass Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hardwired Screw In for DIY Pendant Light Wall Light,Lamp Holders | Lamp_Holder,True,10,0
LHCTOBM,genuine,description names a holder/socket,E27 ES Bulb Holder Batten Lamp Fitting Threaded 20mm Conduit Pipe Socket,Conduit Lighting,True,11,34
LHCTOCH,genuine,description names a holder/socket,E27 ES Bulb Holder Batten Lamp Fitting Threaded 20mm Conduit Pipe Socket,Conduit Lighting,True,10,0
LHCTORO,genuine,description names a holder/socket,E27 ES Bulb Holder Batten Lamp Fitting Threaded 20mm Conduit Pipe Socket,Conduit Lighting,True,11,262
LHCTOSN,genuine,description names a holder/socket,E27 ES Bulb Holder Batten Lamp Fitting Threaded 20mm Conduit Pipe Socket,Conduit Lighting,True,11,59
LHCTOWH,genuine,description names a holder/socket,E27 ES Bulb Holder Batten Lamp Fitting Threaded 20mm Conduit Pipe Socket,Conduit Lighting,True,10,50
LHDHE27GB,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holder | Lamp Holders | Lamp_Holder,True,10,0
LHDHE27SN,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holder | Lamp Holders | Lamp_Holder,True,10,0
LHDHE27YB,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holder | Lamp Holders | Lamp_Holder,True,10,0
LHELB22GD,genuine,description names a holder/socket,B22 BC Elek tek Lamp Bulb Holder,Lamp Holder | Lamp Holders | Lamp_Holder,True,11,1339
LHETB22GD,genuine,description names a holder/socket,B22 BC Bayonet Cap Batten Lamp Bulb Holder,Lamp Holders | Lamp_Holder,True,10,2
LHETBM,genuine,description names a holder/socket,External thread aluminum lamp holder,(none),True,11,0
LHETCH,genuine,description names a holder/socket,External thread aluminum lamp holder,(none),True,11,0
LHETCO,genuine,description names a holder/socket,External thread aluminum lamp holder,(none),True,11,0
LHETSN,genuine,description names a holder/socket,External thread aluminum lamp holder,(none),True,11,0
LHETWH,genuine,description names a holder/socket,External thread aluminum lamp holder,(none),True,11,0
LHETYB,genuine,description names a holder/socket,External thread aluminum lamp holder,(none),True,11,0
LHF3HT40BM,genuine,description names a holder/socket,16*400MM internal thread iron pipe-Floor lamp holder,(none),True,10,0
LHF3HT40WH,genuine,description names a holder/socket,16*400MM internal thread iron pipe-Floor lamp holder,(none),True,10,0
LHFHE2720WH,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp_Holder,True,10,0
LHGU10CN,genuine,description names a holder/socket,GU 10 holder without  connecting block,LAMP | Lampholders,True,10,488
LHGU10CY,genuine,description names a holder/socket,GU 10 holder with connecting block,LAMP | Lampholders,True,10,487
LHGU10SK,genuine,description names a holder/socket,GU10 Bulb Holder Downlight Base Connector Ceramic Holders without block,Lampholders,True,10,4
LHGU10SKCR,genuine,description names a holder/socket,GU10 Bulb Holder Downlight Base Connector Ceramic Holders with Connecting Block,(none),True,10,0
LHHGE27BM,genuine,description names a holder/socket,Black hanging E27 lamp  holder,Lamp Holder | Lamp Holders | Lamp_Holder,True,11,85
LHHGE27WH,genuine,description names a holder/socket,Whit  hanging E27 lamp  holder,Lamp Holder | Lamp Holders | Lamp_Holder,True,10,109
LHIFTE27BM,genuine,description names a holder/socket,Black iron lamp holder  with extension,(none),True,10,100
LHIFTE27CH,genuine,description names a holder/socket,Chrome iron lamp holder  with extension,(none),True,10,103
LHIFTE27YB,genuine,description names a holder/socket,Yellow brass iron lamp holder  with extension,(none),True,10,100
LHLAE2710BBM,genuine,description names a holder/socket,Full thin black holder with 10Cm arm  with 15Cm cable length,Lamp Holder,True,11,307
LHLAE2710DBM,genuine,description names a holder/socket,Full thin black holder with 10Cm arm with 30cm cable length,Lamp_Holder,True,10,98
LHLAE2715BBM,genuine,description names a holder/socket,Full thin black holder with 15Cm arm with 15Cm cable length,Lamp Holder,True,11,365
LHLAE2715DBM,genuine,description names a holder/socket,Full thin black holder with 15Cm arm with 30cm cable length,Lamp_Holder,True,10,23
LHLAE275BBM,genuine,description names a holder/socket,Full thin black holder with 50mm arm,Lamp Holder,True,11,367
LHLAE275DBM,genuine,description names a holder/socket,Full thin black holder with 50mm arm with 30cm cable length,Lamp_Holder,True,10,44
LHLEE27BM,genuine,description names a holder/socket,Retro Style Screw E27 Light Bulb Lamp Holder Base Pendant Socket Bulb Holder Edison Screw Black Plastic Lamp holder For Table Lamp Socket UK.,Lamp_Holder | Light Fittings,True,10,0
LHLF220E27BM,genuine,description names a holder/socket,22cm length with 15cm extension full thin black holder,(none),True,10,53
LHLF220E27WH,genuine,description names a holder/socket,22cm length with 15cm extension full thin white holder,(none),True,10,90
LHLF270E27BM,genuine,description names a holder/socket,27cm length with 15cm extension full thin black holder,(none),True,10,90
LHLF270E27WH,genuine,description names a holder/socket,27cm length with 15cm extension full thin white holder,(none),True,10,98
LHLFE27ACO,genuine,description names a holder/socket,Copper half thin holder with 10cm long arm with 15cm extension,(none),True,10,100
LHLFE27ASN,genuine,description names a holder/socket,Satin nickel half thin holder with 10cm long arm with 15cm extension,(none),True,10,100
LHLFE27AYB,genuine,description names a holder/socket,Yellow brass half thin holder with 10cm long arm with 15cm extension,(none),True,10,100
LHLHTE27YB,unresolved,"description is only ""lamp spare Part"" — class not determinable",lamp spare Part,(none),True,10,0
LHMHTE27YB,unresolved,"description is only ""lamp spare Part"" — class not determinable",lamp spare Part,(none),True,10,0
LHMR16SK,genuine,description names a holder/socket,M16  Holder,Lamp_Holder,True,11,1986
LHNDE27BM,genuine,description names a holder/socket,Black short holder with 30cm cable length,(none),True,11,115
