sku,status,source,proposed_sot_status
LHAHE27AM,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHAHE27GD,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHBBE27FG,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHBLE27BN,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHBLE27CH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHBLE27CO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHBLE27GB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHBLE27RO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHBLE27SN,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHBLE27YB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHCHE27BY,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHCHE27CH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHCHE27CO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHCHE27RO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHCHE27SN,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHCHE27YB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHDHE27BN,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHLTE27BL,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHLTE27BM,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHLTE27GG,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHLTE27GR,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHLTE27WH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHLTE27YE,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHMTE27FG,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHPHE27YB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHRGE27BN,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHRRE27WH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHRUE27WH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS3E27CH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS3E27CO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS3E27RO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS3E27YB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS6E27BY,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS6E27CH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS6E27CO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS6E27RO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHS6E27YB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSHE27BC,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSHE27BS,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSHE27MB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSHE27RR,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSIE27CO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSIE27FG,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
