sheet_row,sku_id,mount_type_raw,socket_type,shade_support,product_name,db_status,decision
3,LHAHE27AM,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
4,LHAHE27BM,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
5,LHAHE27CH,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
6,LHAHE27CO,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
7,LHAHE27GB,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
8,LHAHE27GD,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
9,LHAHE27RO,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
10,LHBBE27BA,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
11,LHBBE27BN,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
12,LHBBE27BY,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
13,LHBBE27CH,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
14,LHBBE27CO,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
15,LHBBE27FG,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
16,LHBBE27GB,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
17,LHBBE27RO,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
18,LHBBE27SN,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
19,LHBBE27YB,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
20,LHBGE27BM,Pendant / Shade Mount,E27,TRUE,,resolves 1:1,INCLUDE
21,LHBHE27BA,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
22,LHBHE27BY,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
23,LHBHE27CH,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
24,LHBHE27CO,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
25,LHBHE27GB,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
26,LHBHE27RO,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
27,LHBHE27SN,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
28,LHBHE27YB,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
29,LHBLE27BN,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
30,LHBLE27CH,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
31,LHBLE27CO,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
32,LHBLE27GB,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
33,LHBLE27RO,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
34,LHBLE27SN,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
35,LHBLE27YB,Flange Mount,E27,TRUE,,resolves 1:1,INCLUDE
36,LHBPE27BM,Surface Mount,E27,TRUE,,resolves 1:1,INCLUDE
37,LHBRE14BM,Pendant / Shade Mount,E14,TRUE,,resolves 1:1,INCLUDE
38,LHBRE27BM,Shade Mount,E27,TRUE,,resolves 1:1,INCLUDE
39,LHC1E27WH,Surface Mount,E27,FALSE,,resolves 1:1,INCLUDE
40,LHC1E27WH-IDE,Surface Mount,E27,FALSE,,unresolved in inventory.products,EXCLUDE — no such product; image points at an unrelated combo
41,LHC1E27WH3PK,Surface Mount,E27,FALSE,,resolves (pack/combo),"EXCLUDE — pack/combo, no stock rows, placeholder description"
42,LHC1E27WH3PK-IDE,Surface Mount,E27,FALSE,,unresolved in inventory.products,EXCLUDE — no such product; image points at an unrelated combo
43,LHC1E27WH5PK,Surface Mount,E27,FALSE,,resolves (pack/combo),"EXCLUDE — pack/combo, no stock rows, placeholder description"
44,LHC1E27WH5PK-IDE,Surface Mount,E27,FALSE,,unresolved in inventory.products,EXCLUDE — no such product; image points at an unrelated combo
45,LHC1E27WHAPK,Surface Mount,E27,FALSE,,resolves (pack/combo),"EXCLUDE — pack/combo, no stock rows, placeholder description"
46,LHC1E27WHAPK-IDE,Surface Mount,E27,FALSE,,unresolved in inventory.products,EXCLUDE — no such product; image points at an unrelated combo
47,LHC2E27WH,,E27,FALSE,,resolves 1:1,INCLUDE
48,LHC3E27WH,,E27,FALSE,,resolves 1:1,INCLUDE
49,LHC4E27WH,,E27,FALSE,,resolves 1:1,INCLUDE
50,LHC5E27WH,,E27,FALSE,,resolves 1:1,INCLUDE
51,LHC6E27WH,,E27,FALSE,,resolves 1:1,INCLUDE
52,LHC6E27WH5PK,,E27,FALSE,,resolves (pack/combo),"EXCLUDE — pack/combo, no stock rows, placeholder description"
53,LHC6E27WHAPK,,E27,FALSE,,resolves (pack/combo),"EXCLUDE — pack/combo, no stock rows, placeholder description"
54,LHCBE27BY,,E27,TRUE,,resolves 1:1,INCLUDE
55,LHCCE27BL,Pendant,E27,TRUE,,resolves 1:1,INCLUDE
56,LHCCE27BM,Pendant,E27,TRUE,,resolves 1:1,INCLUDE
57,LHCCE27GR,Pendant,E27,TRUE,,resolves 1:1,INCLUDE
58,LHCCE27RE,Pendant,E27,TRUE,,resolves 1:1,INCLUDE
59,LHCCE27WH,Pendant,E27,TRUE,,resolves 1:1,INCLUDE
60,LHCCE27YE,Pendant,E27,TRUE,,resolves 1:1,INCLUDE
61,LHCE27- Lamp Holder,,E27,FALSE,,unresolved in inventory.products,EXCLUDE — no such product; image points at an unrelated combo
62,LHCHE27BY,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
63,LHCHE27CH,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
64,LHCHE27CO,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
65,LHCHE27RO,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
66,LHCHE27SN,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
67,LHCHE27YB,Pendant,E27,FALSE,,resolves 1:1,INCLUDE
