IDENTITY,,,,,,,FUNCTION,,,,,STRUCTURE / DESIGN,,,,,MATERIAL,,,ELECTRICAL,,,,,,,,INTALLATION,,,,,,,,COMPATIBILITY,,,,MESUREMENTS,,,,,,,,,,,,,,PPC_Term			,,,,,,
SKU_ID,IMG_LINK,IMG,Stock,"Product
Name","Finish
Name","Colour
Family","Socket
Type","Switch
Included","Switch
Type","Mount
Type","Shade
Support","Body
Pattern","Ring
Count","Shade
Rings Qty","Lock
Nut Qty","Cable
Grip
Included","Body
Material
(Primary)","Ring
Material","Insert
Material
(Secondary)","Voltage
Range","Max
Wattage","Terminal
Type",Dimmable,"IP
Rating",Frequency,Class,"Earth
Terminal","Parts
List","Wiring
Type","Install
Type","Req
Electrician","Tools
Required","Assembly
Req","Cap
Easy
DIY","Assembly
Complex","Shade
Hole
Size","Compatible
Shade
Type","Compatible
Shade
Size ","Indoor/
Outdoor","Height
mm","Width
mm","Depth
mm","Diameter
mm","Shade
Diameter
mm","Cable
Length
mm","Adjust
Arm","Weight
g","CE
Cert
ID","UKCA
Cert
ID","RoHS
Cert
ID","WEEE
Reg","Safety
Warnings",Postage Cost,Exact Match Keyword,Phrase Match Keyword,Broad Match Keyword,Negative Keywords,Max Bid,Min Bid,Suggested Search Terms
LHAHE27AM,http://dashboard.digitweblk.com/Productimages/LHAHE27AM.jpg,,-8,,Brass,Satinnickle,E27,NO,NO,Flange Mount,TRUE,Smooth with horizontal rib,1,1,1,YES,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,NO,"Mounting Plate, 
Threaded Holder 
Body, Metal Cap,
 E27 Ceramic Socket",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,~40mm,Metal / Glass,"Any lamp shade with
40mmm top opening
can be fited",Indoor,56,59,59,38,,,,,,,,,,2.7,E27 Brass Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass lamp holder | E27 brass pendant lamp holder | E27 flange lamp holder | flange mount lamp holder
LHAHE27BM,http://dashboard.digitweblk.com/Productimages/AMHRBK.jpg,,85,,Matte Black,Black,E27,NO,NO,Flange Mount,TRUE,Smooth with horizontal rib,1,1,1,YES,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,NO,"Mounting Plate, 
Threaded Holder 
Body, Metal Cap,
 E27 Ceramic Socket",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,~40mm,Metal / Glass,"Any lamp shade with
40mmm top opening
can be fited",Indoor,56,59,59,38,,,,,,,,,,2.7,E27 Matte Black Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | E27 flange lamp holder | flange mount lamp holder
LHAHE27CH,http://dashboard.digitweblk.com/Productimages/AMHRCE.jpg,,91,,Polished Chrome,Silver,E27,NO,NO,Flange Mount,TRUE,Smooth with horizontal rib,1,1,1,YES,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,NO,"Mounting Plate, 
Threaded Holder 
Body, Metal Cap,
 E27 Ceramic Socket",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,~40mm,Metal / Glass,"Any lamp shade with
40mmm top opening
can be fited",Indoor,56,59,59,38,,,,,,,,,,2.7,E27 Polished Chrome Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | polished chrome lamp holder | E27 polished chrome pendant lamp holder | E27 flange lamp holder | flange mount lamp holder
LHAHE27CO,http://dashboard.digitweblk.com/Productimages/AMHRCR.jpg,,154,,Brass / Gold,Copper,E27,NO,NO,Flange Mount,TRUE,Smooth with horizontal rib,1,1,1,YES,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,NO,"Mounting Plate, 
Threaded Holder 
Body, Metal Cap,
 E27 Ceramic Socket",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,~40mm,Metal / Glass,"Any lamp shade with
40mmm top opening
can be fited",Indoor,56,59,59,38,,,,,,,,,,2.7,E27 Brass / Copper Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass / copper lamp holder | E27 brass / copper pendant lamp holder | E27 flange lamp holder | flange mount lamp holder
LHAHE27GB,http://dashboard.digitweblk.com/Productimages/AMHRGBS.jpg,,70,,Brass ,Green Brass,E27,NO,NO,Flange Mount,TRUE,Smooth with horizontal rib,1,1,1,YES,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,NO,"Mounting Plate, 
Threaded Holder 
Body, Metal Cap,
 E27 Ceramic Socket",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,~40mm,Metal / Glass,"Any lamp shade with
40mmm top opening
can be fited",Indoor,56,59,59,38,,,,,,,,,,2.7,E27 Brass Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass lamp holder | E27 brass pendant lamp holder | E27 flange lamp holder | flange mount lamp holder
LHAHE27GD,http://dashboard.digitweblk.com/Productimages/AMHRGD.jpg,,-7,,Gold,Gold,E27,NO,NO,Flange Mount,TRUE,Smooth with horizontal rib,1,1,1,YES,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,NO,"Mounting Plate, 
Threaded Holder 
Body, Metal Cap,
 E27 Ceramic Socket",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,~40mm,Metal / Glass,"Any lamp shade with
40mmm top opening
can be fited",Indoor,56,59,59,38,,,,,,,,,,2.7,E27 Gold Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | gold lamp holder | E27 gold pendant lamp holder | E27 flange lamp holder | flange mount lamp holder
LHAHE27RO,http://dashboard.digitweblk.com/Productimages/AMHRRGD.jpg,,154,,Rose gold,Rose gold,E27,NO,NO,Flange Mount,TRUE,Smooth with horizontal rib,1,1,1,YES,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,NO,"Mounting Plate, 
Threaded Holder 
Body, Metal Cap,
 E27 Ceramic Socket",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,~40mm,Metal / Glass,"Any lamp shade with
40mmm top opening
can be fited",Indoor,56,59,59,38,,,,,,,,,,2.7,E27 Rose Gold Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | rose gold lamp holder | E27 rose gold pendant lamp holder | E27 flange lamp holder | flange mount lamp holder
LHBBE27BA,http://dashboard.digitweblk.com/Productimages/LHBBE27BM.jpg,,52,,Mate Balack,Black,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,-,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Matte Black Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder
LHBBE27BN,http://dashboard.digitweblk.com/Productimages/LHBBE27BN.jpg,,150,,Mate Black,Black,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,-,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Matte Black Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder
LHBBE27BY,http://dashboard.digitweblk.com/Productimages/LHBBE27BY.jpg,,191,,Shany Black,Black,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Shiny Black Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder
