sku,section_family_banner,section_shape_banner,Material_Primary,Shade_Shape,Fitting_Type,Product_Status
LSFT220BB,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BC,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BG,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BI,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BL,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BM,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BR,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BS,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BU,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BW,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220BY,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220CH,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220CO,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220FG,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220GB,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220GI,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220GR,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220GS,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220GY,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220NB,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220OR,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220PI,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220RE,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220RO,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220RR,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220SN,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220WH,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220YB,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT220YE,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT320BM,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT320DG,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
LSFT320GY,Metal Lampshades,Cone,Metal,Cone,Easy Fit,Active
