sheet_row,sku,product_type,product_subtype,product_name,body_material_primary,finish_name,colour_family,mount_type,parts_list,cable_type,cable_material,img_url
3,PHAH2RCHBW,Lighting Accessory,Pendant Lamp Holder,E27 Chrome Pendant Lamp Holder with 2m Braided Cable,Metal,Polished Chrome,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/760.jpg
4,PHAH2RBMBM,Lighting Accessory,Pendant Lamp Holder,E27 Shiny Black Pendant Lamp Holder with 2m Braided Cable,Metal,Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/763.jpg
5,PHAH2RGBGD,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 2m Braided Cable,Metal,Green Brass,Green,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/762.jpg
6,PHAH2RYBGD,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 2m Braided Cable,Metal,Yellow Brass,Yellow,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3135.jpg
7,PHBH1BRTCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/35229.jpg
8,PHBH1GDTYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3151.jpg
9,PHBH1BMRBM,Lighting Accessory,Pendant Lamp Holder,E27  Shiny Black Lamp Holder with 1m Twisted Cable,Metal,Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/858.jpg
10,PHBH1BRTYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/857.jpg
11,PHIH1PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/852.jpg
12,PHIH1PBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/851.jpg
13,PHHH1BRTYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable and Metal Cage,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/770.jpg
14,PHHH1AGTGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Twisted Green Braided Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/769.jpg
15,PHBL2PBRBM,Lighting Accessory,Pendant Lamp Holder,E27 Black Pendant Lamp Holder with 2m Rubber Cable,Thermoplastic,Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/742.jpg
16,PHBL1PBRBM,Lighting Accessory,Pendant Lamp Holder,E27 Black Pendant Lamp Holder with 2m Rubber Cable,Thermoplastic,Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/741.jpg
17,PHRR1PBRBM,Lighting Accessory,Pendant Lamp Holder,E27 Black Pendant Lamp Holder with 2m Rubber Cable,Thermoplastic,Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2556.jpg
18,PHSW1PBRBM,Lighting Accessory,Pendant Lamp Holder,E27 Black Pendant Lamp Holder with 2m Rubber Cable,Thermoplastic,Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/740.jpg
19,PHSW2HETBM,Lighting Accessory,Pendant Lamp Holder,E27 Black Pendant Lamp Holder with 2m Rubber Cable,Thermoplastic,Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Natural Fiber Rope,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2990.jpg
20,PHPV1HERBM,Lighting Accessory,Pendant Lamp Holder,E27 Black Pendant Lamp Holder with 2m Rubber Cable,Thermoplastic,Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Natural Fiber Rope,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2482.jpg
21,PHTD1AGTGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Twisted Green Braided Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/739.jpg
22,PHHT1PWRYE,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Glossy painted,Yellow,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3483.jpg
23,PHHT1PWRPI,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Painted Pink,Pink,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3482.jpg
24,PHHT1PWRGY,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Matte Gray,Grey,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3480.jpg
25,PHHT1PWRBT,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Glossy painted,Blue,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3479.jpg
26,PHHT1PWRWH,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2558.jpg
27,PHHT1PCRCH,Lighting Accessory,Pendant Lamp Holder,E27 Chrome Pendant Lamp Holder with 1m Braided Cable,Metal,Polished Chrome,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1851.jpg
