BL1S0200BM|200mm Black baton Light
BLOB1GU400|400mm Oblique base gold black baton light
CBMPBM|Black Modern Industrial wall mounting L Shape Metal
CBSF60|60mm Light Fixture Mounting Bracket
CBSF70|70mm Light Fixture Mounting Bracket
CBSF95|95mm Light Fixture Mounting Bracket
CBSFBM|Black ceiling bracket accessories
CBSFEARTH|Earth
CGMLBM|Vintage Pendant cable Cord Grip Lock 10mm male Thread
CGMLWH|Vintage Pendant cable Cord Grip Lock 10mm male Thread
CGWDWO|Wood Cord Grip
CL3B40BM|3 core Electric round cable
CO122PCL|12 Way Connector With ceiling rose Switch
CO532AGY|5 Way Spring Lever Terminal Cable Connector
CRFF100BM|Black Front fitting Ceiling Rose
CRFF100GB|Green Brass Front fitting Ceiling Rose
CRFF108BM|Black Ceiling Rose 108mm Vintage Front screw
CRFF108CH|Chrome Ceiling Rose Hook Plate
CRFF108CO|Copper Ceiling Rose 108mm Vintage
CRFF108GB|Green Brass Ceiling Rose 108mm Vintage
CRFF108YB|Yellow Brass Ceiling Rose Hook Plate
CRFF115BM|Black vintage industrial Ceiling Rose
CRFF115CH|Vintage Plain industrial Ceiling Rose
CRFF115RO|Vintage Plain industrial Ceiling Rose
CRFF140BC|Brushed Copper Single Outlet Ceiling Rose
CRFF140GL|Black Gold Line Single Outlet Ceiling Rose
CRFF14GL|Front fitting Double Layer black Gold line
CRFF2008BM|Black 8 Way Ceiling Rose
CRFF4002BM|50cm Length Ceiling Rose
CRFF500BB|Ceiling Plate Suspension Plate Hanging Lamp
CRFF500BM|Black Metal Ceiling Rose Square 500mm
CRFF500CH|3 Outlet Chrome Ceiling Rose
CRFF500FG|3 Outlet French Gold Ceiling Rose
CRFF500WH|White Metal Ceiling Rose Square 500mm
CRSF10025WH|White Industrial Ceiling Rose
CRSF100AA|Army Cama Side fitting Ceiling Rose
CRSF100BB|Brushed Brass Vintage Ceiling Rose
CRSF100BC|Brushed Copper Vintage Ceiling Rose
CRSF100BD|Cyan Blue Vintage Ceiling Rose
CRSF100BL|Blue Vintage Ceiling Rose
CRSF100BM|Black Vintage Ceiling Rose
CRSF100BS|Brushed Silver Vintage Ceiling Rose
CRSF100BU|Burgundy Vintage Ceiling Rose
CRSF100CH|Chrome Vintage Ceiling Rose
CRSF100CO|Copper Vintage Ceiling Rose
CRSF100CY|Clay Side fitting Ceiling Rose
CRSF100FG|Vintage Ceiling Rose With Cord Grip
CRSF100GB|Green Brass Vintage Ceiling Rose
CRSF100GC|Green Cama Side fitting Ceiling Rose
CRSF100GN|100mm Ceiling Rose Granite stone
CRSF100GR|Green Vintage Ceiling Rose
CRSF100GY|Grey Vintage Ceiling Rose
CRSF100HBM|Black Side Fitting 100mm Ceiling Rose
CRSF100HCH|Chrome Side Fitting 100mm Ceiling Rose
CRSF100HGB|Green Brass Side Fitting 100mm Ceiling Rose
CRSF100HRO|Rose Gold Side Fitting 100mm Ceiling Rose
CRSF100LG|Light Green Vintage Ceiling Rose
CRSF100NB|Navy Blue Vintage Ceiling Rose
CRSF100OR|Orange Vintage Ceiling Rose
CRSF100PI|Vintage Ceiling Rose With Cord Grip
CRSF100PS|Vintage Ceiling Rose With Cord Grip
CRSF100RE|Red Vintage Ceiling Rose
CRSF100RO|Rose Gold Vintage Ceiling Rose
CRSF100RR|Rustic Red Vintage Ceiling Rose
CRSF100SN|Satin Nickel Vintage Ceiling Rose
CRSF100WH|White Vintage Ceiling Rose
CRSF100YB|Yellow Brass Vintage Ceiling Rose
CRSF100YE|Yellow Vintage Ceiling Rose
CRSF108GB|Green Brass Single Point Easy Fit Ceiling Rose
CRSF108RO|Rose Gold Single Point Easy Fit Ceiling Rose
CRSF108YB|Yellow Brass Single Point Easy Fit Ceiling Rose
CRSF1202BM|2 Outlet Black Easy Fit Ceiling Rose
CRSF1202CH|2 Outlet Chrome Easy Fit Ceiling Rose
CRSF1202CO|2 Outlet Copper Easy Fit Ceiling Rose
CRSF1202H30BM|120mm Black Metal Ceiling Rose
CRSF1202SN|2 Outlet Satin Nickel Easy Fit Ceiling Rose
CRSF1202YB|2 Way Yellow Brass Easy Fit Ceiling Rose
CRSF1203BM|3 Outlet Black Easy Fit Ceiling Rose
CRSF1203WH|3 Outlet White Easy Fit Ceiling Rose
CRSF1206BM|6 Outlet Black Easy Fit Ceiling Rose
CRSF120BM|1 Outlet Black Easy Fit Ceiling Rose
CRSF120BS|Industrial Ceiling Rose 120mm Brushed Silver
CRSF120CH|1 Outlet Chrome Easy Fit Ceiling Rose
CRSF120RO|Rose Gold Easy Fit Ceiling Rose
CRSF120WH|1 Outlet White Easy Fit Ceiling Rose
CRSF120YB|1 Way Yellow Brass Easy Fit Ceiling Rose
CRSF125BM|Vintage Ceiling Rose With Cord Grip
CRSF125CO|Vintage Ceiling Rose With Cord Grip
CRSF125YB|Vintage Ceiling Rose With Cord Grip
CRSF195WD|Ceiling rose wood only
CRSF2003BB|Industrial 3 Hole 8 Inch Ceiling Rose
CRSF2003BM|Multi-outlet ceiling rose 3-way Black
CRSF2003BS|Industrial 3 Hole 8 Inch Ceiling Rose
CRSF2003CH|Industrial 3 Hole 8 Inch Ceiling Rose
CRSF2003CO|Multi-outlet ceiling rose 3-way Copper
CRSF2003GB|Multi-outlet ceiling rose 3-way Green Brass
CRSF2003RR|Industrial 3 Hole 8 Inch Ceiling Rose
CRSF2003SN|Multi-outlet ceiling rose 3-way Satin Nickel
CRSF2003WH|Multi-outlet ceiling rose 3-way White
CRSF2003YB|Multi-outlet ceiling rose 3-way Yellow Brass
CRSFM210080YB|M20 100*80 Ceiling Rose
ICST64E27|ST64 E27 Filament Edison Light Bulb
ICST64E2740|E27 Screw 40W ST64 Filament Edison Light Bulb
LDA60E274WW|LED A60 B22 4W Warm White Amber
LDGU10WD5|GU10 Cool white Dimming 5W
LDMG80E274|G80 E27 4W Edison LED filament Globe
LDMST64E274|E27 ST64 Dimmable LED Bulb 4W
LDMT130E274|T130 E27 4W Edison Vintage LED Bulb
LDMT45E274|T45 E27 4W Edison LED Bulb
LDSST64E274|E27 Edison Screw Amber Glass LED
LHCCE27BM|Metal Bulb Socket Lamp Holder
LHHTE27BM|Metal Bulb Socket Lamp Holder
LHMTE27GB|Metal Lamp Holder with Switch
LHNSE27BM|Metal Bulb Socket Lamp Holder
LHNSE27CO|Metal Bulb Socket Lamp Holder
LHNSE27RO|Metal Bulb Socket Lamp Holder
LHSHE27CO|Metal Bulb Socket Lamp Holder
LHTOE27YB|E27 Threaded 20mm open holder Yellow Brass
LHTPE27JBM|75mm Black turning holder
LHTTAGU10BM|GU10 lamp holder Black
LQK|LED Soft Neon Filament Lamp
LSBS160BM|Black Beat Style Long Shade
LSCB110FG|Crystal Barrel Lampshade
LSCP150BA|Easy Fit Light Shade 13cm Metal E27
LSCP150BL|Easy Fit Light Shade 13cm Metal E27
LSCP150YE|Easy Fit Light Shade 13cm Metal E27
LSCY210BM|21cm Curvy Black Lampshade
LSCY290AA|Easy Fit Curvy Metal Lampshade
LSCY290BB|Easy Fit Curvy Metal Lampshade
LSCY290BM|Easy Fit Curvy Metal Lampshade
LSCY290BU|Easy Fit Curvy Metal Lampshade
LSCY290CO|Easy Fit Curvy Metal Lampshade
LSCY290CY|Easy Fit Curvy Metal Lampshade
LSCY290DBM|29cm Black inner white shade
LSCY290GC|Easy Fit Curvy Metal Lampshade
LSCY290GR|Easy Fit Curvy Metal Lampshade
LSCY290RR|Easy Fit Curvy Metal Lampshade
LSCYRO120BM|120mm Black crystal lamp shade
LSCYRO200WH|200mm White crystal lamp shade
LSDF135BM|Retro Dome Light Shade
LSDM220CH|Metal Ceiling Light Chrome Shade
LSDM220CO|Metal Ceiling Light Copper Shade
LSDM220FG|Metal Ceiling Light French Gold Shade
LSDM220GB|Metal Ceiling Light Green Brass Shade
LSDM220GS|Metal Ceiling Light Shade
LSDM220RO|Metal Ceiling Light Rose Gold Shade
LSDM220SN|Metal Ceiling Light Satin Nickel Shade
LSDM220YB|Metal Ceiling Light Yellow Brass Shade
LSDO210BB|Dome Brushed Brass 21cm Lampshade
LSDO210BI|Dome Black White Inner 21cm Lampshade
LSDO210BL|Dome Blue 21cm Lampshade
LSDO210BM|Black Black Inner 21cm Lampshade
LSDO210GR|Dome Green 21cm Lampshade
LSDO210GY|Dome Grey 21cm Lampshade
LSDO210RR|Dome Rustic Red 21cm Lampshade
LSDO210YE|Dome Yellow 21cm Lampshade
LSDO300BI|Easy Fit Dome Lampshade Metal E27
LSDO400CB|Easy Fit Dome Lampshade Metal E27
LSFT220BI|Ceiling Pendant Light Shade Black
LSFT220BL|Ceiling Pendant Light Shade Blue
LSFT220CO|Ceiling Pendant Light Shade Copper
LSFT220GB|Green Brass Easy Fit Cone Lampshade
LSFT220GS|Black Golden Edge Cone Lamp Shade
LSFT220NB|Cone shade Navy blue
LSFT220RO|Rose Gold Easy Fit Lampshade
LSFT220WH|White Easy Fit Cone Lampshade
LSGL1275CL|120x75mm Glass Lamp Cage
LSGL14013AR|Amber glass shade
LSGL9015GY|150x90mm Glass Lamp Shade
LSGLWB125TN|125mm Tea Brown Waveball glass shade
LSHH240BS|Easy Fit Pendant Lamp Shade
LSHQ150BU|Easy Fit E27 15cm Light Shade
LSHQ150CB|Easy Fit E27 15cm Light Shade
LSHQ150GR|Easy Fit E27 15cm Light Shade
LSHQ150OR|Easy Fit E27 15cm Light Shade
LSHQ150PI|Easy Fit E27 15cm Light Shade
LSHQ150RE|Easy Fit E27 15cm Light Shade
LSHQ150WH|Easy Fit E27 15cm Light Shade
LSHQ160BC|16x12cm Brushed Copper Dome Lampshade
LSHQ160BM|16x12cm Black Metal Dome Lampshade
LSHQ160BS|16x12cm Brushed Silver Dome Lampshade
LSLT360BC|Retro Vintage Pendant Light Shade
LSLT360BS|Retro Dome Pendant Lamp Shade
LSLT360RR|Big Top Rustic Red Lampshade
LSLT360YE|360mm Big Top Yellow Lampshade
LSMS320BI|Black Gloss Metal Lampshade
LSMS320CB|Dark Blue Gloss Metal Lampshade
LSMS320WH|White Gloss Metal Lampshade
LSOL180BB|12cm Easy Fit Green Brass Shade
LSOL180BC|12cm Easy Fit Brushed Copper Shade
LSOL180BM|12cm Easy Fit Black Shade
LSOL180RR|Cone small Rustic Red Lampshade
LSOL220CH|Chrome Easy Fit Cone Lampshade
LSSS300BB|Industrial Loft Pendant Shade
LSSS300BS|Industrial Loft Pendant Shade
LSTF40BC|Easy Fit Brushed Copper Lampshade
LSTF40BM|Easy Fit Black Gold Lampshade
LSTF40BS|Brushed Silver Flat Lampshade 22cm
LSTF40RR|Easy Fit Rustic Red Lampshade
LSTL260BC|Small Top Brushed Copper Lampshade
LSTL260RR|Small Top Rustic Red Lampshade
LSUL220BB|Brushed Brass Metal Shade
LSUL220BC|Brushed Copper Metal Shade
LSUL220BM|Black Metal Shade
LSUL220BS|Brushed Silver Metal Pendant Shade
LSUL220RR|Rustic Red Metal Pendant Shade
LSWE315BL|Industrial Metal Ceiling Blue Shade
LSWE315BY|Shiny black mosque shade
LSWE315GR|Industrial Metal Ceiling Green Shade
LSWT300BC|3 Wheel Industrial Pendant Lamp
LSWT300BS|3 Wheel Brushed Silver Pendant Lamp
LSWT300RR|3 Wheel Rustic Red Pendant Lamp
LSYG410BM|Round Black Lampshade
NT3|10mm Fine pitch nuts retaining washers
PCBI45EL|Black iron 45mm Elbow
PCBSM2FCO|M20 Male to M10 Female Thread Bush
PCDO20BM|20mm conduit dome cover Black
PCDO20CO|20mm conduit dome cover Copper
PCFL20BM|Black 20mm Conduit Lid Switch Fitting
PCFL20CO|Copper 20mm Conduit Lid Switch Fitting
PCGZ20NL|20mm Nipple Pipe Lighting
PCSN230WH|230mm White Gooseneck Wall Light
PCSWRG10CO|Copper 10mm Hole Switch Plate
PHBL2PBRBM|E27 Black Bakelite Holder PVC 2 Core
PHCD1PBRBW|1m chain holder pendant with ceiling rose
PHCH1BMRBM|E27 Black Curvy Holder Fabric 3 Core
PHCH1PBRBB|Vintage Industrial Retro Pendant
PHCH1PWRSBD|E27 Ceiling Rose Pendant Lamp Fitting
PHCT1BMRBM|Chain with ceiling rose
PHCT1WHRWH|White Chain with ceiling rose
PHHR2HETHE|2m E27 Edison Hemp Rope Pendant
PHHS1PWRYE|E27 Yellow Holder 1m White Rubber Cable
PHLSFH1PBRBC|1m Brushed Copper Fisherman Pendant set
PHLSFH1PBRBM|1m Nautical Fisherman Pendant set
PHMH1HERYB|E27 Hemp wire Aluminium Holder Pendant
PHNW1RBC|1m Pendant Holder Nest Cage Brushed Copper
PHNW1RBM|1m Pendant Holder Nest Cage Black
PHNW1RBS|1m Pendant Holder Nest Cage Brushed Silver
PHNW1RRR|1m Pendant Holder Nest Cage Rustic Red
PHPO1PBRBM|Pendant Light Suspended Ceiling Light
PHRB1PBR30BM|30mm Pendant Light Fitting Black
PHRB1PBR35BM|35mm Pendant Light Fitting Black
PHRB1PBRPB|20mm Pendant Light Fitting Black
PHRI1PBRCO|E27 Retro Industrial Pendant Fitting
PHRI1PBRRO|E27 Retro Industrial Pendant Fitting
PHRI1PCRSN|E27 Retro Industrial Pendant Fitting
PHSF1PWR40WH|Full set for Beat Style Lampshade
PHTT1PBR3BC|E27 Brushed Copper Tin Holder PVC 2 Core
PHTT1PBR3BM|E27 Black Tin Holder PVC 2 Core
PHTT1PBR3BS|E27 Brushed Silver Tin Holder PVC 2 Core
PHTT1PBR3RR|E27 Rustic Red Tin Holder PVC 2 Core
PHTT1PBR5BM|E27 Black Tin Holder PVC 2 Core
PHTT1PBRBM|E27 Black Tin Holder PVC 2 Core
PHTT1PGRGB|E27 Pendant Holder Fabric Flex Green Brass
PHUH1HETBM|Single Pendant Light Fitting
PHUM1PCRCH|E27 Pendant Holder with Shade Clip
PHUP1PBRBM|E27 Black Umbrella Holder PVC 2 Core
PHUP1PBRCO|E27 Copper Umbrella Holder PVC 2 Core
PLADRR|Rustic Red 3 Way Cone Shade
PSDS2BPB|2m Rapper cable with dimmer switch
PSDS2RBL|Blue 2m Round Fabric Cable 3 Pin Plug
PSDS4RBM|3 Core Plug in Pendant Set with Dimmer
PSDS4RRO|3 Core Plug in Pendant Set with Dimmer
RD30|M10 threaded aluminium rod nipple
